Project,tool,file_old,line_old,file_new,line_new,threshhold,version_altered,date_altered,day,type,subtype,type,subtype
FreeCAD/FreeCAD_sf_master, Flawfinder, src/Base/FileInfo.cpp,186, src/Base/FileInfo.cpp,184   -   ,0.548387097, 3c88edd00704e1440fb005a9799f428d76adbbdc,1472907088,1617,  Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings
FreeCAD/FreeCAD_sf_master, Flawfinder, src/Base/FileInfo.cpp,189, src/Base/FileInfo.cpp,187   -   ,0.472222222, 3c88edd00704e1440fb005a9799f428d76adbbdc,1472907088,1617,  Input Validation and Representation, Buffer Overflow, API Abuse, Often Misused: Strings
FreeCAD/FreeCAD_sf_master, Flawfinder, src/Base/Stream.cpp,546, src/Base/Stream.cpp,561   -   ,0.605633803, 0d4be03f4bf45a55b800105fda33d0606882142a,1465735802,1534,  Input Validation and Representation, Buffer Overflow ,,
FreeCAD/FreeCAD_sf_master, Flawfinder, src/Base/Stream.h,252, src/Base/Stream.h,267   -   ,0.78125, 0d4be03f4bf45a55b800105fda33d0606882142a,1465735802,1534,  Input Validation and Representation, Buffer Overflow,,
FreeCAD/FreeCAD_sf_master, Flawfinder, src/Mod/PartDesign/App/FeatureGroove.cpp,227, src/Mod/PartDesign/App/FeatureGroove.cpp,194   -   ,0.782608696, 75dc92fd90e3a9ec500688060e58080b8b173ff1,1369324089,418,  Input Validation and Representation, Integer Overflow,,
FreeCAD/FreeCAD_sf_master, Flawfinder, src/Mod/PartDesign/App/FeatureRevolution.cpp,234, src/Mod/PartDesign/App/FeatureRevolution.cpp,192   -   ,0.666666667, 75dc92fd90e3a9ec500688060e58080b8b173ff1,1369324089,418,  Input Validation and Representation, Integer Overflow,,
FreeCAD/FreeCAD_sf_master, Flawfinder, src/Mod/PartDesign/Gui/TaskMirroredParameters.cpp,148, src/Mod/PartDesign/Gui/TaskMirroredParameters.cpp,211   -   ,0.712328767, 880587a62729711896291deaae6969bb89ada530,1368634034,410,  Input Validation and Representation, Integer Overflow,,
FreeCAD/FreeCAD_sf_master, Flawfinder, src/3rdParty/salomesmesh/src/NETGENPlugin/NETGENPlugin_NETGEN_2D_ONLY.cpp,395, src/3rdParty/salomesmesh/src/NETGENPlugin/NETGENPlugin_NETGEN_2D_ONLY.cpp,691   -   ,0.7375, d7240c6b2be318d17a1e626b280af3089a05c4fb,1466957541,1548,  Input Validation and Representation, String Termination Error, API Abuse, Often Misused: Strings
FreeCAD/FreeCAD_sf_master, Flawfinder, src/Base/FileInfo.cpp,176, src/Base/FileInfo.cpp,176   -   ,0.710526316, 3c88edd00704e1440fb005a9799f428d76adbbdc,1472907088,1617,  Input Validation and Representation, String Termination Error, API Abuse, Often Misused: Strings
FreeCAD/FreeCAD_sf_master, Flawfinder, src/Base/FileInfo.cpp,178, src/Base/FileInfo.cpp,178   -   ,0.636363636, 3c88edd00704e1440fb005a9799f428d76adbbdc,1472907088,1617,  Input Validation and Representation, String Termination Error, API Abuse, Often Misused: Strings
