repository, v1, Insecure_Randomness1, Privilege_Violation1, Access_Control1, Password_Management1, Empty_Password1, Hard_Coded_Password1, Password_inConfig1, Weak_Cryptography1, Privacy_Violation1, General1, NA1, v2, Insecure_Randomness2, Privilege_Violation2, Access_Control2, Password_Management2, Empty_Password2, Hard_Coded_Password2, Password_inConfig2, Weak_Cryptography2, Privacy_Violation2, General2, NA2
repository, v1, Insecure_Randomness1, Privilege_Violation1, Access_Control1, Password_Management1, Empty_Password1, Hard_Coded_Password1, Password_inConfig1, Weak_Cryptography1, Privacy_Violation1, General1, NA1, v2, Insecure_Randomness2, Privilege_Violation2, Access_Control2, Password_Management2, Empty_Password2, Hard_Coded_Password2, Password_inConfig2, Weak_Cryptography2, Privacy_Violation2, General2, NA2
repository, v1, Insecure_Randomness1, Privilege_Violation1, Access_Control1, Password_Management1, Empty_Password1, Hard_Coded_Password1, Password_inConfig1, Weak_Cryptography1, Privacy_Violation1, General1, NA1, v2, Insecure_Randomness2, Privilege_Violation2, Access_Control2, Password_Management2, Empty_Password2, Hard_Coded_Password2, Password_inConfig2, Weak_Cryptography2, Privacy_Violation2, General2, NA2
freeorion/freeorion, 611758cf90e990070cafe728c61b689d399dd5f7, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, d6a00202da402c425dfeb64854288543ab820dfc, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
freundlich/fcppt, 652b63c63e241376f535a470874adbcbd4e7f623, 180, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6b8d0816c20b28ef52a568f6fb1f4f9f5e5078e2, 52, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
freundlich/mizuiro, e1a77ff94cf11f5d2515424a923886cb62cb02dc, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4f5fe1d02598404283d3783333cddda87dc7418e, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
gemrb/gemrb, 90cda6b99ac13abe63e3929245b8f034eddeb9b3, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a186784bde3c0507abd9752f59f4e6f92d57bf4d, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
gflags/gflags, 4a694e87361d08eff5c4c9e9f551b1a0d41f7c40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, f7e89ba9ea82ed2a79413b7c323bca79ac26c747, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
gnuradio/gnuradio, ac5109d25a9d94386429dd9e806268d29c8e2aac, 98, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, fd52df0f706195d937e287189024f8aa6fbeaf60, 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
google/glog, da816ea70645e463aa04f9564544939fa327d5a7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 95cde7af2f115daa2881b329864c6d2e276671f5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
highfidelity/hifi, e1a0984fed4be37a8582972587222a38ecebc7f7, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, ad0b2f024b0c4c8c38236d8888e7cd585e995d83, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hluk/CopyQ, 652ea527c37902566da9bcb152af3d1753426d4e, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 313d9245bb907d61b8e1b8530246d9033302e97b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
hpcc-systems/HPCC-Platform, f2e903ffa48a4468f3718d516e240bd288719708, 43, 0, 0, 0, 0, 0, 0, 5, 0, 0, 53, a2eb7f9cb93700e77e38cbd31ed47af187229b5b, 45, 0, 0, 0, 0, 0, 0, 5, 0, 0, 49
imageworks/OpenColorIO, 6b744f2b4543d16f77b3fe19ae05b67c56a13673, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, b7d58e7fbd0dea7924c6c73ab4fec8739b7ef63d, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
jbeder/yaml-cpp, 0fdb1b910c1a31db80b7521446166d06cad10813, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, c335c8dd753c2b5f456a42e6dc33da16b7203713, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
jktjkt/trojita, 58690b61d1ee66b49b4be2b9c6b1460fc8278fa7, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 964169993489856c7342a05369456fe9ede5478c, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
juj/MathGeoLib, 07680b7cfcca72c3f852dd248eb26e4ca3e26530, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 662276c250314488cb2e76dbb65c32c6ed1684c3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
koreader/crengine, d0854294e0a9259d9c160b5fe9c91a123a63528b, 10, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 82509784f8e1fdbf9998f2806ace69babff9e15c, 16, 0, 0, 2, 0, 0, 0, 0, 0, 0, 4
lalinsky/chromaprint, 22daf0e01ce46145d916112094997c3003c298c8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 33307a55f21f3bebbcb901ae525d4f383b0a0181, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
lballabio/QuantLib, e65dd7b6cbd54bc64f909259ab3311a8a5d006d6, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 606024a75b34e9f8c45de395653717136468f4bd, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ledger/ledger, bc8136fa6fbb74febee99735c8bd603b1f12ddef, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 63a14fd5e0aeb64a0508ddac71803acc926425c5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
leethomason/tinyxml2, 395ea09f83cfa34d848cea25b8a64d7ae3858ada, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, c510a8c76ed48177e08471403f92d78056a3af21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
lemire/FastPFor, bae51c0f8f7c50c179e10a84d0a3e137bbc062d7, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, bf307bdfca05bca3fe02eaab00cbf734aafa3c2e, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
libpinyin/libpinyin, 2919d7d4b9facf175d4da33418dfbb9945f4bb15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 230ee9362a2908e982ff7ff1766d070249cac5ca, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
libspatialindex/libspatialindex, 4768bf3e9ce5ab80c639a6017f5c1e9d093ea515, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9a39ed4c01ce4f5f54e236d716f467a22aca6968, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
lightspark/lightspark, 308241eb55c5379765033e60f28dfdd956c7abcd, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18956fb0c94992f98f707af12b4b107ed4631d25, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
litehtml/litehtml, d7cc6abfe1141770718404aaf9b17db80ed3f196, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13cf9e27bd0a08ab67eb969c7ddf8ed92aa07db8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
loot/loot, f1e4c4fe6a54688d6e83fb5043324bff8f9af4d0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 030e828e251d61ecfdac41db102673471859a290, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
lotem/librime, 7f41f6527ffedcfccc16f7e4b93a3048f33cf19e, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, bb1f48a36a835bd31dd7cb64c4faf738c80cc75d, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
lxde/pcmanfm-qt, 1d38bbd24b4b51f52bbf8a7f1e9237f0ccd37766, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 62990ca3954c0ab70d44d4381830b1d2d961c393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
mangosthree/server, 3014c5b370139db835dba70e860841e322b17849, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, a4fe021054f1ae4779d4a1d44c2954871b72333b, 35, 0, 0, 0, 0, 0, 0, 10, 0, 0, 9
marek629/SIR, 49668de22b1954a3f97283f0068736fe8c483eee, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1d0333cc691c7b30020e64e4775811541edafb8c, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
martinrunge/muroa, d3a9d5078fac3f8baa48cd899ce7810c5cc0e4a3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3fdb0f8529e8e34df6778782c36e2a87d54bcf94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
mattgodbolt/seasocks, bc32e790376cb58fccb13d8a6499e60d729c172c, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 636d1fd54b15abd8105f73be9f1590d8d7b3a564, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
mavam/libbf, b6189bf6204d662294c9796f5f0e268251b5cebc, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, aafb2f1ab750b1a0d652aedea684123a1fbb0504, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
mempko/firestr, 127c15179382ed9a032ffdda629750bb28f3aea0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 727b20eb6c16a8ee5e438abd7cc8c4b2b28f26ad, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
meta-toolkit/meta, bfdb91019ca1c3ad998b10b244cc053ae3483fb2, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, f8accc1b188fa7d2d2b6cc890abcf29bca61ffb6, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
mfontanini/libtins, 7607610cf97bf2923ddd64bcb17a44128e036862, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, fb97b2b8f0182b2139881e41621eea15114f82d8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
mickem/nscp, f7a2c746ac423095fc2d5105ff7ba98a2721b8bf, 47, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 9fdde883b0ac8028232a6bd89466070861d0a8d3, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
mlpack/mlpack, 36470e9f6d3bf8d2f5e9202675c46b528881e4c1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, cd12d5a188663151a0f6a5f1db07a7cb4a2f377a, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
mosra/corrade, 29612cc341633fa26c4c74c55920cb21ed4dd0ed, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 402305e9e3f15dcb04e6f698e55f26d163f1fde5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ms705/firmament, 091b99ba3a58aea5d0594e61291c10417bcdd234, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3a84f6c01ce87d5045c0675bebb01c5e903b4cb3, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
msgpack/msgpack-c, 99c4d37a399f5bb32234bfe2b18cbd826e8f77f6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, dac5c60608212494b84e244f3fe55f5b2d6a8174, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
msoos/cryptominisat, 71e49ac7de4d3c104defa24556f92fbb8dded517, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 82c91dbfc7f585e455da835c330017811ebc058f, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
muflihun/easyloggingpp, 4d4cb42848d19ed8de97f8ba2b71317210ca9246, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3bbd864c1fb06df23a75d64d9051060aadfeedcf, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
musescore/MuseScore, b520dcaf3c88b06d2e418adbe187806c37a6aaf0, 9, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 3a836d7fd60ffbc608679d3d7f4a2851f87e2273, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
nickbruun/hayai, 6959ca187e845f7fef1f0aa4704cbe695a8e2e45, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, c9d74ca1e78837c1d92a9dfa61138c60e286746a, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
nyanp/tiny-cnn, b89239c024a6f4d6e79f9f4108c30d483120691b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, b0cd14e11bf9ede769bcdf0cfdafdc1414f317fa, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
open-source-parsers/jsoncpp, 264c3edca7aa4a924f30a44690269dbd6ab6cada, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a3f19c23a0f17ce3fb444e2d11d188e681119367, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
openclonk/openclonk, 3a2c68dcc98ba47ff38ffe9cc643ecf941efe7d3, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 416a65acde056d1612ae2ab65bbadd56c250a71f, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
opengm/opengm, 3deaea58ba0cf9708c25cd03502e1cd9abec8875, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9b059056ab99ed58072b5a092a23f2e4c4908386, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
openscenegraph/osg, 2cefcc8bfc1cb5636633ca120f471cc37761be94, 147, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 28a9a235b6cecba439838d9dd92099ebfc0c2d3a, 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
opentrack/opentrack, 4fa2108094cb137ec7b2a6b44a9c13b554b4c1f9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, e437f501a6b7a6a9ac90eec6d91ebf022aa09ff8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
orocos-toolchain/typelib, e220595fa4cce756ee2517d1536ec04dcd915baf, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4092381fa7f8c03b053cb4b0bddca4c40932634a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
osmcode/osmcoastline, 2211b9b25416ef44e22fc8505c1870bb49b54b22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, ca3a32c70b5194a5ef784aeae384e4f6af84b471, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
percona/percona-server, 57c5564bb53bb9c46068b08846969383685ea60a, 55, 0, 0, 6, 0, 0, 0, 1, 0, 0, 62, 1ceebf693b6f6a0a9917d17fefe272cbc8b0e088, 36, 0, 0, 7, 0, 0, 0, 5, 0, 0, 16
philsquared/Catch, c9d9699ca8733fc4646a0df5a046eee54681eaf1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a63ce953a0a8ecb8fc36d6a8e5ab007c68fa819d, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
pingus/pingus, 06afdabb6b27c1314bb1d90a05d467697b72be58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, fa980e495a025fce16e10160927a55931ae3feb8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
quassel/quassel, 0260fbe00ddbd1ce78b1870f40fce969b8f34ee5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 24d1ad4c5918abf2f728cb98d556faef446c2d57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
rime/librime, 707738900168336a75219ae5fc69fa08cc71a4b8, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 85b4901a444cc754e2de7a9c7d722457567897ca, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ripple/rippled, cd2d52acdcb4c58cbb5ca3f9a025a826c65f99aa, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, d198b439fd9c3c4ff5d22969d4f445f79d5919ba, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
root-mirror/root, e08b0c8495457c9affb2ff5cd8e169acbe905bd0, 174, 0, 0, 2, 0, 0, 0, 7, 0, 0, 44, 02ceaf84ff0a5e7c206d342632a7fd1b48b41423, 179, 0, 0, 2, 0, 0, 0, 7, 0, 0, 57
sakra/cotire, 516d78476f6dda336181fc5514f72774e1e0a8e2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1c37a8651b5ef848fd3dc038052334f337b3a404, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
samstyle/Xpeccy, e3948f819d10575a30970f28b2c324b84496454b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74ac092a259a36fe18193d6e6cb28e902c1ed672, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
saschazelzer/CppMicroServices, 3b81b03f7e438f8600d33d319f03747fc8d74cf2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5693d645cc0c6147d2f59d533c423b40faa92499, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
scross99/locic, b4a1f9e83eb875c8cc906967205ae7639aa63cf5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0bf12d7ebb6c80f38f81891ee9470c6dea19c05b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
servo/rust-azure, 6bcf4f5632d54573dedbcd84782ec6e8b36573ae, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, e39187d5efa7ba3ab6878667eaadb64f229f5c6b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
shogun-toolbox/shogun, e6f965d16e75c694e86c538ee853131da45632ec, 302, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3085a0fa2e6993b0f37b67cef8173c2080ae3a4c, 280, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
simbody/simbody, c9aab73cd4463c106f46136449fd0f17a45a4e9e, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, b01669bc8b0d1998315256ef3493f03e3ed5a84c, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
simongog/sdsl-lite, e681b5fe6f03224c1019ecce8268b767a9c9ba2f, 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, cf5821b1aa2b3fd9ba19570f5e92ba15e3575db2, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
simsong/tcpflow, e5cee214ccf0fda4f2f0b7a604b8d0d0c61a90d8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21f1ad57ad238b46dba989b8deb0b45b45cd8cb0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
spring/pr-downloader, 7762cedb9d2fb6e0bcdf224d8627d61af4f13d8d, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2242e6b6fb451b771c5042bdf38390f968f4eeeb, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
stevenlovegrove/Pangolin, 31fe1b416a6e4e833c272eb9a67a3333d755361a, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, da62df163816e685d2fb3b91d913768d6b0ca58a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
strasdat/Sophus, 3f84e42a7a796bb6c9a1f57f5708911459a49221, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6e9c6f976f428a38abab187ef893512db3fbe17e, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
stuntrally/stuntrally, 83e0d0abc341a4dd8e2a8da5df19afc8c5bd49a9, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, b272ca782feffbe41e5d43d8ddb56688e397455e, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
supercollider/sc3-plugins, 5342a4ae8842c7361517001866e986c437f50648, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, c164af363d6866b29697d54cf91858cc4769d176, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
supercollider/supercollider, cca12ff02a774a9ea212e8883551d3565bb24a6f, 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, d74c81f9144f6f06ec79b40c87343f8a7a3890fe, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
supertuxkart/stk-code, 1a9cf6a46f7ed1c152d8293f77bd929b4ec953bd, 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, b1caec75a1d88b3797a73cdec121685fad7f1374, 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
symengine/symengine, 38781d745cab9bb45dd7358aa232031c8164eb44, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, ecf1914df4a94fd0a56013238f5b6f5a7da4060f, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
syndicodefront/infekt, e9cb001894913d3694431c88c6461a895a64a7a9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, f0b561991b6a86ff16c79260da00930023d51fe1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
syoyo/tinyobjloader, b434c2497fcb52aa1497b84aa8aeb12bb590492d, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, b214cfb4b98be9464ff9f5a052a26fbbece52325, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
taglib/taglib, cb9f07d9dcd791b63e622da43f7b232adaec0a9a, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2d7414733eaa3263868c74abfa6cff38a8afe8d3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
tesseract-ocr/tesseract, fb359fc981f048328bee206fbcf69f2218ae1ee0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38f3db8ca52ea6a4f3697fc15c9acb827be758b8, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
texus/TGUI, 9e52329250317940daf636987b0985ada97f1de4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14b5bbd03cefb1ff03be64468c2b072c9af6942f, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
thesamet/rpcz, f01f97d09bb4fd1253903bc2db3e3e9b7ebc4260, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0aa3f0227e795b840e989fc4abb0152e996e4df6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
thestk/rtaudio, e880888795c07fea44a5e6c7570bf09677527f37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3a3d648108cdaa53d1199aa3c15a4b8878693f65, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
thewtex/tmux-mem-cpu-load, 75b9ea756e60aadf335fd5514b38e4fe4cfcab6e, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, c40ab82bfaf4671ff8ba42aa7e3816833dc871b4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
tpaviot/oce, 41cc5b9007769de58fd7323a3c1ba729f2c0dc44, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 5ef3473d401ff12fa1588d8f4bb89c2d3a68080e, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5
triAGENS/ArangoDB, 9b22174c66d1c805c0c6baac4397ca9933ee0c18, 630, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 39fd596abcd878e918435d10928e79e1f3ef2359, 79, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
tstack/lnav, d9c42cdc29ecd899cb68a958d3672abf466ea5c5, 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 708490e3b05ce5ca23ae0079ace5eda23741943a, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
tudelft-gist/val3dity, 657589d04c5b51d1fdee73ebbb8c25905064018b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a492c0886d7823ccfa55a4fb4bff6b6c5a50d9e7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
tudelft3d/val3dity, 657589d04c5b51d1fdee73ebbb8c25905064018b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, a492c0886d7823ccfa55a4fb4bff6b6c5a50d9e7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
tumi8/vermont, b70d4f2e6d56315db3a56f42d1dbcc1c584a33e5, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, c2f170a89ae9dd909b6d38cef52a5c565f1c7ffa, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
ukoethe/vigra, fb427440da8c42f96e14ebb60f7f22bdf0b7b1b2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5237e35507373218c38a7a57a131f0680f3e8a44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
user-none/Sigil, 18670a2ef9562b5ca1d3e0fb65e1fe9a1cb8e2ba, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4d2586791f67e5042b81862483dedf35ae22474c, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
vcmi/vcmi, 8b5cbf6ba7ca3b5dcedd619c5267433b6734f1eb, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2848fb6fef18ea869eb0584627747475f200f309, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
vinipsmaker/tufao, 0832f657926b580877f9d707d9d766d35885e07d, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 09cbe4e23e793684bd382e56c11ac9cdae5611d0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
vle-forge/vle, 16a7d21646e4a7a176b23fac921b1a5863f23359, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, c570afd193aaaa648a0173a92007451495116366, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
wdas/ptex, 59eac370e52af48a3f4dab77a60f91523c3e70ac, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3492a71feb967d2844805eb3228cb72af5bc451b, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
wesnoth/wesnoth, 9e58caa5ff608e845c21048d61fff3856d913a22, 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 050fbf73706c1dbe6c86c3c784e7ef91984ecd00, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
worldforge/libwfut, 7e003179283a3a2643199cff9c5b9242b9d13f08, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, c885c0d4ea51b8347893390b33e631d9dd8a288d, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
xoreos/xoreos, a1bea660ce5cc74fa19a9d13afd85acdb2b56de0, 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 494d9ea9c4c187dd21664e33c8a521bad62e5a05, 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
xournalpp/xournalpp, 62312496092f5f717246f87d2ca85a739f609adb, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38d235d457e8f25ec9e759421d078586c4fe7553, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
xrootd/xrootd, a26c586cf9dd002d7655e834df5365daa083c5da, 14, 0, 0, 2, 0, 0, 0, 1, 0, 0, 2, 945f0dbcacbaaa938acb922aa71ecb6cb6976bf2, 16, 0, 0, 2, 0, 0, 0, 1, 0, 0, 2
