Project, commit1, commit2, RATS_Runtime_1, RATS_Runtime_2, Flawfinder_Runtime_1, Flawfinder_Runtime_2, Cppcheck_Runtime_1, Cppcheck_Runtime_2, Clang_Runtime_1, Clang_Runtime_2, PVS_studio_Runtime_1, PVS_studio_Runtime_2,  Parasoft_run_time1, Parasoft_run_time2
clintbellanger/flare-engine, 4fcdc4939a3544a5823b782dd90ae5b244a0eb10 , f2918d2ce7d8176c8a33445e8bb33dccab93f909 ,2497,645,3520,1087,21268,7071,32898,31734,138134,56958,302657,124908
cmangos/mangos-classic, 806a7883c5827925450f89e0d280f6c967357c50 , 343d5851ef8053d17c9d540f071744a86fd323d5 ,19980,20437,25912,25511,135065,3165295,36032,32427,23130,2454777,44709,5400166
cmangos/mangos-wotlk, 73cb0915ecfdd2694a0b7aa4bd9ba56e975638db , 5c72a7f8302399a9c041acacf377c08d89d77a8e ,18772,17876,25274,27246,76256,4472678,35393,36049,28387,4682842,38737,3311960
colobot/colobot, 92a8140b778675a769440dc206b11b8012734bff , f67a62fb28c882b1650b827730bac72f404e2c47 ,1070,733,4503,3042,14775,43190,34361,15074,458909,9004,1019751,83528
commontk/CTK, f96b5014aac1d76468f03a708446cd334a8aba84 , 2ace7a3a58f1fe00fa47494c73966afce2d81ea0 ,3733,3274,6777,5651,20488,15381,66351,53728,42376,34491,137994,252805
commontk/DCMTK, d8ed091cda2b815226eafe41f5b4fe3bd22f8d5d , ecf4c70f605b28b79e490dbd0fc7d0e203e5d5c8 ,5091,3526,16728,11158,155741,140446,477253,366009,2837178,1273127,8026748,3661677
cppformat/cppformat, c03f55ec3a0511611fa7f0537f858544a0ed03bd , 251e8774b010b0e21ac774bd3196aabcd2f3b2d2 ,975,466,1470,651,380674,1435,56230,26367,73777,24696,195740,48938
ddemidov/vexcl, 9da8cb44da3cce1b3f1542fb4615069a208470ee , 6cf94a715c054e9214c59b51fa3861fd7eca5f9d ,533,239,1655,652,2316,590,46179,36517,394969,42858,1366641,66891
deskvox/deskvox, 96e52235b5397d800f15971594327bdd3d7eacc0 , 9dc865c914b037299da11901c5a793cb6ff824d7 ,953,709,2832,1802,1785407,182225,56191,41920,211690,94617,48692,42091
dorkster/flare-engine-next, def388a7eecbfb2ac750e6b20507d5272d723dfc , 5c74d8c8a954c2ea367c69a8efc8a60ce69ec892 ,646,221,2337,783,24250,6836,32037,31466,142277,60956,286571,125194
