project,from, to,age,number_of_commits,number_of_releases, new_version,new_number_of_source_files,new_number_of_header_files,new_loc,old_version,old_number_of_source_files,old_number_of_header_files,old_loc
 InsightSoftwareConsortium/ITK, 24-Jan-2000, 3-Jul-2017,212,47243,110, 07cb23f9866768b5f4ee48ebec8766b6e19efc69,63,3342,1304401, 35e3315e0248df1fa93ba4b0c90f4a49162d8abe,33,3156,1098383
 Itseez/opencv, 11-May-2010, 15-Mar-2017,83,21115,51, c1007c7276e889f5f284702515a60b6799df9cd7,1167,908,935239, fd31234122a73e5585bccd9ca83cb2401967113f,754,428,579572
 KDAB/GammaRay, 18-Jul-2010, 15-Mar-2017,81,5462,29, 3d5cdd5353645676a23aafd9b8b1917694da3d87,520,477,121376, c9e4c20d9615e817eb1f3faaa6971a0fdc665c4e,143,149,32024
 Kazade/kazmath, 14-Aug-2008, 23-Feb-2017,103,355,0, 3b2de632783d5f566217094034a2a3366bf6efe6,7,40,25264, e25d39df2f289a3d06fc3e2318cf61bdedf23b71,11,26,23237
 KhronosGroup/OpenCOLLADA, 2-Jul-2008, 8-Mar-2017,105,1806,56, 5c548d2fc16ef35aa275eb207c111e27332f8b56,449,1352,877351, 428019272e7af8608b9c3e05f9ae1c30187b5325,414,1317,855545
 KiCAD/kicad-source-mirror, 6-May-2007, 3-Jul-2017,123,13948,16, 2300697f0297ac64dd2ec3b38882bc670fbaef01,1559,919,761474, 474128a4452a9868e3e906fde219d665a795a530,1016,2902,792372
 Kitware/CMake, 29-Aug-2000, 18-Mar-2017,201,35380,91, 14f0378e103fd24915712cb94c98265ad18c8736,430,1045,319462, 81cdab5beaffc7665550710b84006a0a7ce76cfa,60,592,239161
 Kitware/VTK, 5-Jan-1994, 18-Mar-2017,282,63307,59, e1d409a6895180117cb9574c4d0ca3d53e27d7e7,150,3760,2674499, b0ff5a4ce706dd2a39acdaa8132dab3f4ca99219,150,3718,2644209
 KitwareMedical/TubeTK, 21-Jan-2010, 19-Jun-2017,90,5677,0, 4950ed986022d5248561dacdee7c2b043c9e80ac,2,211,83826, 357f8c8a053dfc5c1b06607d53d6b43d5d8b35d6,1,69,39959
 LaurentGomila/SFML, 28-Jan-2009, 20-Feb-2017,98,2070,12, 756cb09bc3caf7b543c495f9c40d3a48bdf31428,146,269,111501, 2de690f02db4114ff41142c152ed94a944aee265,107,172,110702
 LiberatorUSA/GUCEF, 1-Dec-2007, 11-Jun-2017,115,1121,0, 408b884adfb4ff62a5b7ec30798d704b91836d25,3726,6179,2911267, 6f8c0d256bb7bf729c9ab3c0806d3ffca1831287,1374,2160,711123
 ManaPlus/ManaPlus, 2-Jan-2011, 28-Jun-2017,78,11295,205, 4541175c81e5de39a3118729b7f5997d251b3d35,706,1101,339148, c01aec243610016c2cd5e4211fee484627bc69ea,357,409,175382
 Mudlet/Mudlet, 24-Jan-2009, 2-Jul-2017,102,2977,12, 7a2ba8e0e41e1eae27ebae9faaedcc2b5747bf93,95,116,95677, 9cfbadc3ead1b303dd140e5734a64033bef778cc,176,170,97463
 MyGUI/mygui, 7-Mar-2008, 16-Mar-2017,109,8339,6, d079917c3b8f448c3c4d06eb593272799a93d124,472,740,218288, 027f13b57a03ec258b50ba066e4b73deebd25f0d,383,642,156096
 OPM/opm-simulators, 11-Jun-2009, 24-Feb-2017,93,4782,25, 930f0ea9a09f0b3ea54fbf0b605c7da3a471ecad,80,129,66301, bf18ee7fb9a544c1134c931e1b77f08c79a24ce8,75,121,63591
 OPM/opm-material, 7-Jul-2012, 30-Jun-2017,60,1617,22, ff4f092a7ff03f16e128df1c6f1c8f6d1b6dbe8c,17,162,57958, eaf85622abbeb4934d222c021c5170ea4bd8a885,17,145,50160
 OpenImageIO/oiio, 21-Apr-2008, 18-Mar-2017,108,4534,238, 777dc35b8ac1f18941bbc440da0cbe5e7b56669d,184,107,165624, cb5a00eb21c9dc7e7aa36111c74988c07e555480,173,116,130240
 PCSX2/pcsx2, 6-Nov-2008, 7-Mar-2017,101,10487,9, ec7781f1f9d59e5db181aae07e48e94945ed1565,1258,1885,1219013, 9e1717fee542ee1641a6e719bafc403437475d2c,1065,1621,1025499
 PixarAnimationStudios/OpenSubdiv, 23-Apr-2012, 31-Jan-2017,58,2313,43, a00df9344c19e328c3d52270face2a4bc596550b,114,232,132629, cbb02fd3ce32c11251f02d678eddc0a8d178583b,118,211,105486
 Project-OSRM/osrm-backend, 9-Jul-2010, 17-Mar-2017,81,8545,97, af65ccd054f64d162bf44375a534ecf45a7b59aa,312,516,164857, 0df81c49d5bedc106c2ce980d49cdf9386ea9a84,40,116,28088
