Project, commit1, commit2, RATS_Runtime_1, RATS_Runtime_2, Flawfinder_Runtime_1, Flawfinder_Runtime_2, Cppcheck_Runtime_1, Cppcheck_Runtime_2, Clang_Runtime_1, Clang_Runtime_2, PVS_studio_Runtime_1, PVS_studio_Runtime_2,  Parasoft_run_time1, Parasoft_run_time2
cmangos/mangos-classic, 806a7883c5827925450f89e0d280f6c967357c50 , 343d5851ef8053d17c9d540f071744a86fd323d5 ,19980,20437,25912,25511,135065,3165295,36032,32427,23130,2454777,44709,5400166
codelibre-net/schroot, 039d559fc8ae83e9f383f00ea17e0b7f84051a44 , 74c8f8c2ae2d0939ae4d458c0c459f8fb7c2f8d0 ,477,619,1482,1823,1550,1891,137062,136838,266450,311677,554640,607479
coin-or/CppAD, 40e2ccaaca4760f72dca0867aaaad97270186c5d , 6b1bcfe2985623f04cdc0eca3130b12d9ad8db6e ,1259,976,4225,3603,6119,4429,85780,59246,35682,926601,52242,48122
colobot/colobot, 92a8140b778675a769440dc206b11b8012734bff , f67a62fb28c882b1650b827730bac72f404e2c47 ,1070,733,4503,3042,14775,43190,34361,15074,458909,9004,1019751,83528
commontk/CTK, f96b5014aac1d76468f03a708446cd334a8aba84 , 2ace7a3a58f1fe00fa47494c73966afce2d81ea0 ,3733,3274,6777,5651,20488,15381,66351,53728,42376,34491,137994,252805
commontk/DCMTK, d8ed091cda2b815226eafe41f5b4fe3bd22f8d5d , ecf4c70f605b28b79e490dbd0fc7d0e203e5d5c8 ,5091,3526,16728,11158,155741,140446,477253,366009,2837178,1273127,8026748,3661677
cppformat/cppformat, c03f55ec3a0511611fa7f0537f858544a0ed03bd , 251e8774b010b0e21ac774bd3196aabcd2f3b2d2 ,975,466,1470,651,380674,1435,56230,26367,73777,24696,195740,48938
cpputest/cpputest, 16ee2828a7bbfff1f43c259e3e75655bc76e980f , 126a87ac28ed6f175158803964212be727680625 ,1221,897,2977,3782,2971,1733,89076,73444,82174,73664,223099,60313
csete/gqrx, 4a66a03fcdd5ef1d929825d67793b0111c81e79a , 4268098879c3f13a3f5646ad6f96cce22475965e ,346,370,1206,1116,3782,3121,27891,26806,152733,153376,478403,424122
danmar/cppcheck, 7c0aa4464c3d23fd499985fdc5fb4b24f54ff7bf , dd9cb929bf0acdd897c3c48d957e5eb24df1e2d3 ,1277,1060,5465,5114,82707,69440,29555,29881,90501,83415,286522,263260
ddemidov/vexcl, 9da8cb44da3cce1b3f1542fb4615069a208470ee , 6cf94a715c054e9214c59b51fa3861fd7eca5f9d ,533,239,1655,652,2316,590,46179,36517,394969,42858,1366641,66891
dermesser/libsocket, 5bbe6858b61c58b20d1e28a35f3135fb707e1570 , 7052dd2803328b702c4b9b422b050a0af82f9be0 ,278,233,941,769,1057,891,26225,26176,18211,15650,71423,58849
