Repository,Version1,Java1, Python1, Ruby1, JavaScript1, CS1, PHP1, XML1, Go1, HTML1, JSON1, perl1,  Scala1, Apex1, R1, Swift1, SAS1, Crystal1, Basic1, Assemlbly1, TypeScript1, CSS1, PLSQL1, Shell1,Version1,Java2, Python2, Ruby2, JavaScript2, CS2, PHP2, XML2, Go2, HTML2, JSON2, perl2,  Scala2, Apex2, R2, Swift2, SAS2, Crystal2, Basic2, Assemlbly2, TypeScript2, CSS2, PLSQL2, Shell2
openscenegraph/osg, 2cefcc8bfc1cb5636633ca120f471cc37761be94,8,0,0,1,0,0,43,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 28a9a235b6cecba439838d9dd92099ebfc0c2d3a,8,0,0,1,0,0,43,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0
orocos-toolchain/typelib, e220595fa4cce756ee2517d1536ec04dcd915baf,0,0,12,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0, 4092381fa7f8c03b053cb4b0bddca4c40932634a,0,0,50,0,0,0,6,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
percona/percona-server, 57c5564bb53bb9c46068b08846969383685ea60a,0,4,0,1,14,0,58,0,2,2,88,0,0,0,0,0,0,0,0,0,0,15,123, 1ceebf693b6f6a0a9917d17fefe272cbc8b0e088,700,63,0,3830,0,4,70,0,85,66,62,0,0,0,0,0,0,0,0,0,584,69,105
quassel/quassel, 0260fbe00ddbd1ce78b1870f40fce969b8f34ee5,0,2,0,0,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,36,0,244,8, 24d1ad4c5918abf2f728cb98d556faef446c2d57,0,2,0,0,0,0,14,0,0,0,2,0,0,0,0,0,0,0,0,36,0,283,8
rime/librime, 707738900168336a75219ae5fc69fa08cc71a4b8,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 85b4901a444cc754e2de7a9c7d722457567897ca,0,83,2,3,0,0,5,0,9,12,1,0,0,0,0,0,0,0,0,0,4,0,19
root-mirror/root, e08b0c8495457c9affb2ff5cd8e169acbe905bd0,0,132,15,11,0,0,62,0,323,1,10,0,0,0,0,0,0,0,1,0,19,1,91, 02ceaf84ff0a5e7c206d342632a7fd1b48b41423,0,300,15,51,8,0,43,21,241,8,10,0,1,1,0,0,0,0,0,0,35,1,92
sakra/cotire, 516d78476f6dda336181fc5514f72774e1e0a8e2,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0, 1c37a8651b5ef848fd3dc038052334f337b3a404,0,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
samstyle/Xpeccy, e3948f819d10575a30970f28b2c324b84496454b,0,0,0,0,0,0,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0, 74ac092a259a36fe18193d6e6cb28e902c1ed672,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
saschazelzer/CppMicroServices, 3b81b03f7e438f8600d33d319f03747fc8d74cf2,0,0,0,0,0,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0, 5693d645cc0c6147d2f59d533c423b40faa92499,0,2,0,5,0,0,5,0,8,37,0,0,0,0,0,0,0,0,0,0,8,0,1
scross99/locic, b4a1f9e83eb875c8cc906967205ae7639aa63cf5,0,0,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0, 0bf12d7ebb6c80f38f81891ee9470c6dea19c05b,0,5,0,1,0,0,12,0,7,1,0,0,0,0,0,0,0,0,0,0,2,0,0
simongog/sdsl-lite, e681b5fe6f03224c1019ecce8268b767a9c9ba2f,0,57,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12, cf5821b1aa2b3fd9ba19570f5e92ba15e3575db2,0,39,0,1,0,0,8,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,9
spring/pr-downloader, 7762cedb9d2fb6e0bcdf224d8627d61af4f13d8d,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3, 2242e6b6fb451b771c5042bdf38390f968f4eeeb,0,0,0,0,0,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
stevenlovegrove/Pangolin, 31fe1b416a6e4e833c272eb9a67a3333d755361a,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, da62df163816e685d2fb3b91d913768d6b0ca58a,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
strasdat/Sophus, 3f84e42a7a796bb6c9a1f57f5708911459a49221,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 6e9c6f976f428a38abab187ef893512db3fbe17e,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
stuntrally/stuntrally, 83e0d0abc341a4dd8e2a8da5df19afc8c5bd49a9,0,4,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4, b272ca782feffbe41e5d43d8ddb56688e397455e,0,3,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
supercollider/sc3-plugins, 5342a4ae8842c7361517001866e986c437f50648,0,0,0,0,0,1,20,0,690,2,0,0,0,0,0,0,0,0,0,0,2,0,3, c164af363d6866b29697d54cf91858cc4769d176,0,0,0,0,0,1,20,0,138,2,0,0,0,0,0,0,0,0,0,0,0,0,2
supercollider/supercollider, cca12ff02a774a9ea212e8883551d3565bb24a6f,0,55,0,70,0,0,13,0,14,0,1,0,0,0,0,0,0,0,0,10,3,0,11, d74c81f9144f6f06ec79b40c87343f8a7a3890fe,0,56,0,5,0,0,13,0,14,2,1,0,0,0,0,0,0,0,0,10,3,0,22
supertuxkart/stk-code, 1a9cf6a46f7ed1c152d8293f77bd929b4ec953bd,0,1,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7, b1caec75a1d88b3797a73cdec121685fad7f1374,0,8,0,0,0,0,66,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,19
symengine/symengine, 38781d745cab9bb45dd7358aa232031c8164eb44,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, ecf1914df4a94fd0a56013238f5b6f5a7da4060f,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
syndicodefront/infekt, e9cb001894913d3694431c88c6461a895a64a7a9,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0, f0b561991b6a86ff16c79260da00930023d51fe1,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
taglib/taglib, cb9f07d9dcd791b63e622da43f7b232adaec0a9a,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0, 2d7414733eaa3263868c74abfa6cff38a8afe8d3,0,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0
texus/TGUI, 9e52329250317940daf636987b0985ada97f1de4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 14b5bbd03cefb1ff03be64468c2b072c9af6942f,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
thesamet/rpcz, f01f97d09bb4fd1253903bc2db3e3e9b7ebc4260,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 0aa3f0227e795b840e989fc4abb0152e996e4df6,0,11,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thewtex/tmux-mem-cpu-load, 75b9ea756e60aadf335fd5514b38e4fe4cfcab6e,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, c40ab82bfaf4671ff8ba42aa7e3816833dc871b4,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
tpaviot/oce, 41cc5b9007769de58fd7323a3c1ba729f2c0dc44,0,19,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6, 5ef3473d401ff12fa1588d8f4bb89c2d3a68080e,6,19,0,0,27,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,17
tumi8/vermont, b70d4f2e6d56315db3a56f42d1dbcc1c584a33e5,0,1,0,0,0,0,75,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3, c2f170a89ae9dd909b6d38cef52a5c565f1c7ffa,0,2,0,0,0,0,76,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3
ukoethe/vigra, fb427440da8c42f96e14ebb60f7f22bdf0b7b1b2,0,24,0,3,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,6,0,90, 5237e35507373218c38a7a57a131f0680f3e8a44,0,40,0,4,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,7,0,90
user-none/Sigil, 18670a2ef9562b5ca1d3e0fb65e1fe9a1cb8e2ba,0,0,0,14,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,24,0,0,0, 4d2586791f67e5042b81862483dedf35ae22474c,0,42,0,18,9,0,10,0,57,0,0,0,0,0,0,1,0,0,4,26,0,0,3
vcmi/vcmi, 8b5cbf6ba7ca3b5dcedd619c5267433b6734f1eb,0,1,0,0,0,0,3,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0, 2848fb6fef18ea869eb0584627747475f200f309,0,1,0,0,0,0,3,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,8
vinipsmaker/tufao, 0832f657926b580877f9d707d9d766d35885e07d,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2, 09cbe4e23e793684bd382e56c11ac9cdae5611d0,0,0,0,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1
wesnoth/wesnoth, 9e58caa5ff608e845c21048d61fff3856d913a22,211,92,0,8,0,29,21,0,104,0,1,0,0,0,0,0,0,0,0,0,18,1,14, 050fbf73706c1dbe6c86c3c784e7ef91984ecd00,211,67,0,3,0,2,19,0,42,0,1,0,0,0,0,0,0,0,0,0,2,0,16
xrootd/xrootd, a26c586cf9dd002d7655e834df5365daa083c5da,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,8, 945f0dbcacbaaa938acb922aa71ecb6cb6976bf2,0,39,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,8
