project,v1,v2,tool,old_file,old_line,old_description,new_file,new_line,new_description,status,file_name_changed,still_bug,same_description,false_positive
Git,1.5.6,2.13.2,clang,builtin-merge-recursive.c,856,Dead store Dead assignment,builtin-merge-recursive.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-rev-parse.c,363,Dead store Dead assignment,builtin-rev-parse.c,502,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-for-each-ref.c,815,Dead store Dead assignment,builtin-for-each-ref.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,remote.c,438,Dead store Dead assignment,remote.c,491,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-clone.c,352,Dead store Dead assignment,builtin-clone.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,upload-pack.c,411,Dead store Dead assignment,upload-pack.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,fsck.c,210,Dead store Dead assignment,fsck.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,diffcore-break.c,67,Dead store Dead assignment,diffcore-break.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,help.c,646,Dead store Dead assignment,help.c,179,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,fast-import.c,1755,Dead store Dead assignment,fast-import.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-merge-recursive.c,835,Dead store Dead assignment,builtin-merge-recursive.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,diff.c,928,Dead store Dead assignment,diff.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-diff-tree.c,72,Dead store Dead assignment,builtin-diff-tree.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,pretty.c,146,Dead store Dead assignment,pretty.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-merge-recursive.c,832,Dead store Dead assignment,builtin-merge-recursive.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,diff.c,921,Dead store Dead assignment,diff.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-merge-recursive.c,849,Dead store Dead assignment,builtin-merge-recursive.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-show-branch.c,165,Dead store Dead increment,builtin/show-branch.c,174,NA,changed,1,0,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-show-branch.c,167,Dead store Dead increment,builtin/show-branch.c,176,NA,changed,1,0,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-fetch--tool.c,172,Dead store Dead increment,contrib/examples/builtin-fetch--tool.c,173,NA,moved,1,0,NA,FFP2
Git,1.5.6,2.13.2,clang,shell.c,59,Dead store Dead increment,shell.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-grep.c,328,Dead store Dead increment,builtin-grep.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,shell.c,60,Dead store Dead increment,shell.c,175,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-mailinfo.c,570,Dead store Dead increment,builtin-mailinfo.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,connect.c,21,Dead store Dead increment,connect.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-grep.c,318,Dead store Dead increment,builtin-grep.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-log.c,591,Dead store Dead increment,builtin-log.c,851,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-fetch.c,348,Dead store Dead increment,builtin-fetch.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,http-push.c,799,Dead store Dead initialization,http-push.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,combine-diff.c,517,Dead store Dead initialization,combine-diff.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,http-push.c,858,Dead store Dead initialization,http-push.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,builtin-remote.c,248,Dead store Dead initialization,builtin-remote.c,NA,NA,deleted,0,NA,NA,FFP2
Git,1.5.6,2.13.2,clang,connect.c,494,Dead store Dead initialization,connect.c,618,NA,changed,0,0,NA,FFP2
Git,1.5.6,2.13.2,clang,decorate.c,39,Dead store Dead initialization,decorate.c,38,NA,moved,0,0,NA,FFP2
